Posición,Probabilidad
-16,0.0
-15,0.0
-14,0.0
-13,0.0
-12,0.0
-11,0.0
-10,0.0007
-9,0.0
-8,0.0656
-7,0.0
-6,0.258
-5,0.0
-4,0.0618
-3,0.0
-2,0.07239999999999999
-1,0.0
0,0.0726
1,0.0
2,0.0728
3,0.0
4,0.0628
5,0.0
6,0.26789999999999997
7,0.0
8,0.06459999999999999
9,0.0
10,0.0008
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
