Posición,Probabilidad
-8,0.0576
-7,0.06
-6,0.0668
-5,0.068
-4,0.0654
-3,0.0686
-2,0.0688
-1,0.0706
0,0.0518
1,0.048600000000000004
2,0.0601
3,0.0576
4,0.0698
5,0.057999999999999996
6,0.0679
7,0.0604
