Posición,Probabilidad
-8,0.06520000000000001
-7,0.07239999999999999
-6,0.0722
-5,0.07569999999999999
-4,0.0685
-3,0.08399999999999999
-2,0.0727
-1,0.077
0,0.05
1,0.053000000000000005
2,0.0484
3,0.0532
4,0.0493
5,0.0516
6,0.0449
7,0.0619
