Posición,Probabilidad
-8,0.0645
-7,0.0589
-6,0.0653
-5,0.0565
-4,0.0663
-3,0.060200000000000004
-2,0.0682
-1,0.064
0,0.0693
1,0.0629
2,0.068
3,0.0606
4,0.0629
5,0.0601
6,0.0605
7,0.0518
