Posición,Probabilidad
-8,0.0731
-7,0.0765
-6,0.0843
-5,0.08360000000000001
-4,0.0819
-3,0.0791
-2,0.0817
-1,0.0752
0,0.0453
1,0.038
2,0.0429
3,0.0504
4,0.0445
5,0.0411
6,0.0458
7,0.0566
