Posición,Probabilidad
-16,0.030900000000000004
-15,0.0354
-14,0.032100000000000004
-13,0.0317
-12,0.0281
-11,0.0325
-10,0.0312
-9,0.0316
-8,0.0335
-7,0.034
-6,0.0315
-5,0.034100000000000005
-4,0.030699999999999998
-3,0.0319
-2,0.0317
-1,0.0295
0,0.028999999999999998
1,0.0319
2,0.031200000000000002
3,0.0284
4,0.0297
5,0.03
6,0.032100000000000004
7,0.0284
8,0.0294
9,0.0317
10,0.030400000000000003
11,0.028999999999999998
12,0.0295
13,0.033
14,0.0324
15,0.0335
