Posición Horizontal,Posición Vertical,Probabilidad
-8,-8,0.0036999999999999997
-8,-7,0.002
-8,-6,0.0032
-8,-5,0.0031000000000000003
-8,-4,0.0032
-8,-3,0.0040999999999999995
-8,-2,0.0034
-8,-1,0.0036
-8,0,0.0037999999999999996
-8,1,0.0045
-8,2,0.006
-8,3,0.0042
-8,4,0.0050999999999999995
-8,5,0.0037999999999999996
-8,6,0.004
-8,7,0.0028
-7,-8,0.0032999999999999995
-7,-7,0.0022
-7,-6,0.0029000000000000002
-7,-5,0.0023
-7,-4,0.0024999999999999996
-7,-3,0.0017
-7,-2,0.0023
-7,-1,0.0024
-7,0,0.0035
-7,1,0.0023
-7,2,0.0038
-7,3,0.0034000000000000002
-7,4,0.0026
-7,5,0.0030999999999999995
-7,6,0.0036
-7,7,0.0021
-6,-8,0.0031
-6,-7,0.0033000000000000004
-6,-6,0.0034000000000000002
-6,-5,0.0025
-6,-4,0.004
-6,-3,0.0026
-6,-2,0.0042
-6,-1,0.0037
-6,0,0.004399999999999999
-6,1,0.0040999999999999995
-6,2,0.0064
-6,3,0.0046
-6,4,0.0043
-6,5,0.0046
-6,6,0.0042
-6,7,0.0040999999999999995
-5,-8,0.0028
-5,-7,0.0024
-5,-6,0.0023
-5,-5,0.0023
-5,-4,0.003
-5,-3,0.0027
-5,-2,0.0025
-5,-1,0.0033
-5,0,0.0034000000000000002
-5,1,0.0026
-5,2,0.0032
-5,3,0.004
-5,4,0.003
-5,5,0.0033
-5,6,0.0024999999999999996
-5,7,0.0038
-4,-8,0.0038000000000000004
-4,-7,0.0037
-4,-6,0.004699999999999999
-4,-5,0.003
-4,-4,0.0035
-4,-3,0.0036999999999999993
-4,-2,0.0052
-4,-1,0.0043
-4,0,0.0063
-4,1,0.005200000000000001
-4,2,0.0068
-4,3,0.0055
-4,4,0.006999999999999999
-4,5,0.0057
-4,6,0.0055
-4,7,0.005399999999999999
-3,-8,0.0034
-3,-7,0.0024000000000000002
-3,-6,0.0035
-3,-5,0.0024
-3,-4,0.0031999999999999997
-3,-3,0.0038
-3,-2,0.0033
-3,-1,0.0028
-3,0,0.0037999999999999996
-3,1,0.0039000000000000003
-3,2,0.0044
-3,3,0.0037
-3,4,0.0044
-3,5,0.0039
-3,6,0.0036
-3,7,0.004699999999999999
-2,-8,0.0035
-2,-7,0.0039
-2,-6,0.0025
-2,-5,0.0031
-2,-4,0.004200000000000001
-2,-3,0.0046
-2,-2,0.0031999999999999997
-2,-1,0.004
-2,0,0.0066
-2,1,0.004999999999999999
-2,2,0.0054
-2,3,0.0070999999999999995
-2,4,0.0066
-2,5,0.005
-2,6,0.0067
-2,7,0.0042
-1,-8,0.0028
-1,-7,0.0030999999999999995
-1,-6,0.0036
-1,-5,0.0019
-1,-4,0.0045000000000000005
-1,-3,0.0037999999999999996
-1,-2,0.0039
-1,-1,0.0034000000000000002
-1,0,0.0036999999999999997
-1,1,0.0034
-1,2,0.0037
-1,3,0.0037
-1,4,0.0055
-1,5,0.004399999999999999
-1,6,0.0039
-1,7,0.0033
0,-8,0.0033
0,-7,0.003
0,-6,0.0028
0,-5,0.0024
0,-4,0.0044
0,-3,0.0029000000000000002
0,-2,0.0051
0,-1,0.0053
0,0,0.0058
0,1,0.0039
0,2,0.0074
0,3,0.0063999999999999994
0,4,0.0077
0,5,0.0053
0,6,0.0057
0,7,0.0048
1,-8,0.0041
1,-7,0.0019
1,-6,0.0036999999999999997
1,-5,0.0038
1,-4,0.0031
1,-3,0.003
1,-2,0.0035000000000000005
1,-1,0.0039
1,0,0.0039
1,1,0.0044
1,2,0.0045000000000000005
1,3,0.0047
1,4,0.0040999999999999995
1,5,0.0035
1,6,0.0044
1,7,0.0033
2,-8,0.0041
2,-7,0.0041
2,-6,0.0034000000000000002
2,-5,0.0033
2,-4,0.004
2,-3,0.0034000000000000002
2,-2,0.0044
2,-1,0.0034
2,0,0.006799999999999999
2,1,0.005600000000000001
2,2,0.006500000000000001
2,3,0.0060999999999999995
2,4,0.007299999999999999
2,5,0.0046
2,6,0.0049
2,7,0.0037999999999999996
3,-8,0.0042
3,-7,0.003
3,-6,0.0037999999999999996
3,-5,0.0022
3,-4,0.004399999999999999
3,-3,0.0031999999999999997
3,-2,0.0039
3,-1,0.0034
3,0,0.0046
3,1,0.0031
3,2,0.0047
3,3,0.0040999999999999995
3,4,0.0045
3,5,0.0042
3,6,0.0042
3,7,0.0029999999999999996
4,-8,0.0059
4,-7,0.0031999999999999997
4,-6,0.0047
4,-5,0.0031
4,-4,0.004
4,-3,0.004699999999999999
4,-2,0.005
4,-1,0.0039000000000000003
4,0,0.0055
4,1,0.0046
4,2,0.006200000000000001
4,3,0.0048
4,4,0.006599999999999999
4,5,0.0059
4,6,0.0052
4,7,0.004
5,-8,0.0037
5,-7,0.0039
5,-6,0.003
5,-5,0.0021000000000000003
5,-4,0.0025
5,-3,0.0022
5,-2,0.0028000000000000004
5,-1,0.004
5,0,0.0038
5,1,0.0036
5,2,0.0048
5,3,0.0027
5,4,0.0037
5,5,0.004200000000000001
5,6,0.0036999999999999993
5,7,0.0039
6,-8,0.003
6,-7,0.0029
6,-6,0.0028
6,-5,0.0016
6,-4,0.0042
6,-3,0.0036000000000000003
6,-2,0.0026
6,-1,0.0036
6,0,0.0058000000000000005
6,1,0.0047
6,2,0.0042
6,3,0.004399999999999999
6,4,0.0052
6,5,0.0047
6,6,0.0042
6,7,0.0034999999999999996
7,-8,0.0034000000000000002
7,-7,0.0029000000000000002
7,-6,0.002
7,-5,0.0017
7,-4,0.0024000000000000002
7,-3,0.0029
7,-2,0.0024
7,-1,0.0039
7,0,0.0027
7,1,0.0038000000000000004
7,2,0.0041
7,3,0.0049
7,4,0.0031
7,5,0.003
7,6,0.0036
7,7,0.0023
