Posición Horizontal,Posición Vertical,Probabilidad
-16,-16,0.0006000000000000001
-16,-15,0.0006000000000000001
-16,-14,0.0008
-16,-13,0.0007
-16,-12,0.0008
-16,-11,0.00039999999999999996
-16,-10,0.0008
-16,-9,0.0004
-16,-8,0.0005
-16,-7,0.0008
-16,-6,0.0007000000000000001
-16,-5,0.0004
-16,-4,0.0006
-16,-3,0.0009000000000000001
-16,-2,0.0007
-16,-1,0.00039999999999999996
-16,0,0.0004
-16,1,0.0006000000000000001
-16,2,0.0008
-16,3,0.0004
-16,4,0.00039999999999999996
-16,5,0.0008
-16,6,0.0005
-16,7,0.0004
-16,8,0.00039999999999999996
-16,9,0.0007000000000000001
-16,10,0.0005
-16,11,0.0007000000000000001
-16,12,0.001
-16,13,0.0007
-16,14,0.001
-16,15,0.0011
-15,-16,0.0002
-15,-15,0.00030000000000000003
-15,-14,0.0005
-15,-13,0.00039999999999999996
-15,-12,0.0007999999999999999
-15,-11,0.0006000000000000001
-15,-10,0.0009000000000000001
-15,-9,0.0003
-15,-8,0.0004
-15,-7,0.0002
-15,-6,0.0006000000000000001
-15,-5,0.0004
-15,-4,0.0006000000000000001
-15,-3,0.0006000000000000001
-15,-2,0.0005
-15,-1,0.0005
-15,0,0.001
-15,1,0.0004
-15,2,0.0003
-15,3,0.0001
-15,4,0.00030000000000000003
-15,5,0.0009000000000000001
-15,6,0.0005
-15,7,0.0006
-15,8,0.001
-15,9,0.00039999999999999996
-15,10,0.00030000000000000003
-15,11,0.0006000000000000001
-15,12,0.0008
-15,13,0.0003
-15,14,0.001
-15,15,0.0005
-14,-16,0.00030000000000000003
-14,-15,0.0005
-14,-14,0.0002
-14,-13,0.0005
-14,-12,0.00030000000000000003
-14,-11,0.00030000000000000003
-14,-10,0.0008
-14,-9,0.0005
-14,-8,0.0005
-14,-7,0.00039999999999999996
-14,-6,0.001
-14,-5,0.0006000000000000001
-14,-4,0.0004
-14,-3,0.0004
-14,-2,0.0002
-14,-1,0.0005
-14,0,0.0007
-14,1,0.0008
-14,2,0.0007
-14,3,0.0001
-14,4,0.0005
-14,5,0.0004
-14,6,0.0007000000000000001
-14,7,0.0009
-14,8,0.0006000000000000001
-14,9,0.00039999999999999996
-14,10,0.00030000000000000003
-14,11,0.0007
-14,12,0.0002
-14,13,0.00039999999999999996
-14,14,0.0004
-14,15,0.0009000000000000001
-13,-16,0.0006000000000000001
-13,-15,0.0002
-13,-14,0.0001
-13,-13,0.0003
-13,-12,0.0001
-13,-11,0.0006000000000000001
-13,-10,0.0002
-13,-9,0.0004
-13,-8,0.0001
-13,-7,0.0
-13,-6,0.0004
-13,-5,0.00039999999999999996
-13,-4,0.0007000000000000001
-13,-3,0.00039999999999999996
-13,-2,0.00039999999999999996
-13,-1,0.0004
-13,0,0.0005
-13,1,0.0005
-13,2,0.0008
-13,3,0.0006000000000000001
-13,4,0.0005
-13,5,0.0004
-13,6,0.0001
-13,7,0.0007
-13,8,0.0007
-13,9,0.00039999999999999996
-13,10,0.0002
-13,11,0.00030000000000000003
-13,12,0.0007000000000000001
-13,13,0.0005
-13,14,0.0006
-13,15,0.00030000000000000003
-12,-16,0.0002
-12,-15,0.0
-12,-14,0.0
-12,-13,0.0001
-12,-12,0.0
-12,-11,0.0
-12,-10,0.0002
-12,-9,0.0
-12,-8,0.0001
-12,-7,0.0
-12,-6,0.0
-12,-5,0.0
-12,-4,0.0
-12,-3,0.0
-12,-2,0.0001
-12,-1,0.0001
-12,0,0.0
-12,1,0.0001
-12,2,0.0
-12,3,0.0
-12,4,0.0
-12,5,0.0001
-12,6,0.0001
-12,7,0.0
-12,8,0.0
-12,9,0.0001
-12,10,0.0
-12,11,0.0
-12,12,0.0001
-12,13,0.0
-12,14,0.0002
-12,15,0.0
-11,-16,0.0001
-11,-15,0.0
-11,-14,0.0001
-11,-13,0.0
-11,-12,0.0
-11,-11,0.0
-11,-10,0.0001
-11,-9,0.0
-11,-8,0.0001
-11,-7,0.0
-11,-6,0.0
-11,-5,0.0
-11,-4,0.0
-11,-3,0.0
-11,-2,0.0
-11,-1,0.0
-11,0,0.0001
-11,1,0.0002
-11,2,0.0002
-11,3,0.0
-11,4,0.0
-11,5,0.0001
-11,6,0.0
-11,7,0.0
-11,8,0.0
-11,9,0.0
-11,10,0.0
-11,11,0.0
-11,12,0.0001
-11,13,0.0001
-11,14,0.0
-11,15,0.0
-10,-16,0.0
-10,-15,0.0001
-10,-14,0.0
-10,-13,0.0
-10,-12,0.0001
-10,-11,0.0
-10,-10,0.0001
-10,-9,0.0
-10,-8,0.0002
-10,-7,0.0
-10,-6,0.0
-10,-5,0.0
-10,-4,0.0
-10,-3,0.0
-10,-2,0.0
-10,-1,0.0
-10,0,0.0
-10,1,0.0
-10,2,0.0
-10,3,0.0001
-10,4,0.0001
-10,5,0.0001
-10,6,0.0
-10,7,0.0001
-10,8,0.0
-10,9,0.0
-10,10,0.0
-10,11,0.0
-10,12,0.0
-10,13,0.0
-10,14,0.0
-10,15,0.0001
-9,-16,0.0001
-9,-15,0.0001
-9,-14,0.0002
-9,-13,0.0
-9,-12,0.0
-9,-11,0.0
-9,-10,0.0001
-9,-9,0.0
-9,-8,0.0001
-9,-7,0.0
-9,-6,0.0002
-9,-5,0.0
-9,-4,0.0001
-9,-3,0.0002
-9,-2,0.0001
-9,-1,0.0001
-9,0,0.0001
-9,1,0.0
-9,2,0.0
-9,3,0.0002
-9,4,0.0
-9,5,0.0
-9,6,0.0
-9,7,0.0
-9,8,0.0
-9,9,0.0
-9,10,0.0
-9,11,0.0
-9,12,0.0
-9,13,0.0
-9,14,0.0
-9,15,0.0
-8,-16,0.0012000000000000001
-8,-15,0.002
-8,-14,0.0013
-8,-13,0.0008
-8,-12,0.0015
-8,-11,0.002
-8,-10,0.0027999999999999995
-8,-9,0.002
-8,-8,0.0012000000000000001
-8,-7,0.0023
-8,-6,0.0022
-8,-5,0.0015
-8,-4,0.0021000000000000003
-8,-3,0.0023000000000000004
-8,-2,0.0026
-8,-1,0.0017000000000000001
-8,0,0.0017
-8,1,0.0013
-8,2,0.0015999999999999999
-8,3,0.0011
-8,4,0.0019
-8,5,0.0021999999999999997
-8,6,0.0013
-8,7,0.0024
-8,8,0.0013000000000000002
-8,9,0.0012000000000000001
-8,10,0.0014
-8,11,0.0019
-8,12,0.0021999999999999997
-8,13,0.0021000000000000003
-8,14,0.0035
-8,15,0.0027
-7,-16,0.0008
-7,-15,0.0006
-7,-14,0.0011
-7,-13,0.0019000000000000002
-7,-12,0.0015000000000000002
-7,-11,0.0019
-7,-10,0.0012000000000000001
-7,-9,0.0013000000000000002
-7,-8,0.0008
-7,-7,0.0015
-7,-6,0.0013000000000000002
-7,-5,0.0009
-7,-4,0.0019000000000000002
-7,-3,0.0013000000000000002
-7,-2,0.0014999999999999998
-7,-1,0.0018000000000000002
-7,0,0.0014999999999999998
-7,1,0.0013
-7,2,0.0011
-7,3,0.0015999999999999999
-7,4,0.0018000000000000002
-7,5,0.001
-7,6,0.0007
-7,7,0.0015999999999999999
-7,8,0.002
-7,9,0.0009
-7,10,0.0014
-7,11,0.0013000000000000002
-7,12,0.0018000000000000002
-7,13,0.002
-7,14,0.0014
-7,15,0.0019999999999999996
-6,-16,0.0015000000000000002
-6,-15,0.0018000000000000002
-6,-14,0.0013000000000000002
-6,-13,0.0014000000000000002
-6,-12,0.0011
-6,-11,0.0014
-6,-10,0.0017000000000000001
-6,-9,0.0012000000000000001
-6,-8,0.001
-6,-7,0.0013000000000000002
-6,-6,0.0017
-6,-5,0.0013
-6,-4,0.0014000000000000002
-6,-3,0.0019
-6,-2,0.0018000000000000002
-6,-1,0.0016
-6,0,0.0014
-6,1,0.0011
-6,2,0.0017000000000000001
-6,3,0.0009
-6,4,0.0013
-6,5,0.0009
-6,6,0.0015
-6,7,0.0016
-6,8,0.0016
-6,9,0.0009
-6,10,0.0019
-6,11,0.0014
-6,12,0.0017
-6,13,0.0017000000000000001
-6,14,0.0014
-6,15,0.0013000000000000002
-5,-16,0.001
-5,-15,0.0014
-5,-14,0.001
-5,-13,0.0012000000000000001
-5,-12,0.0017
-5,-11,0.001
-5,-10,0.0015
-5,-9,0.0013000000000000002
-5,-8,0.0011
-5,-7,0.0007000000000000001
-5,-6,0.0006000000000000001
-5,-5,0.0009
-5,-4,0.0013
-5,-3,0.0013000000000000002
-5,-2,0.0012000000000000001
-5,-1,0.0007
-5,0,0.002
-5,1,0.0014999999999999998
-5,2,0.0007000000000000001
-5,3,0.0007
-5,4,0.0012000000000000001
-5,5,0.0012000000000000001
-5,6,0.0012000000000000001
-5,7,0.0014
-5,8,0.0017
-5,9,0.0014
-5,10,0.0011
-5,11,0.0008
-5,12,0.002
-5,13,0.0012
-5,14,0.0016
-5,15,0.0017000000000000001
-4,-16,0.0001
-4,-15,0.0
-4,-14,0.0002
-4,-13,0.00039999999999999996
-4,-12,0.0002
-4,-11,0.0
-4,-10,0.0001
-4,-9,0.0002
-4,-8,0.0002
-4,-7,0.0001
-4,-6,0.00030000000000000003
-4,-5,0.00030000000000000003
-4,-4,0.0001
-4,-3,0.00030000000000000003
-4,-2,0.0002
-4,-1,0.0001
-4,0,0.0
-4,1,0.0002
-4,2,0.0004
-4,3,0.00030000000000000003
-4,4,0.0
-4,5,0.0002
-4,6,0.0001
-4,7,0.00039999999999999996
-4,8,0.0001
-4,9,0.0002
-4,10,0.00030000000000000003
-4,11,0.0004
-4,12,0.00039999999999999996
-4,13,0.0001
-4,14,0.0002
-4,15,0.0002
-3,-16,0.00030000000000000003
-3,-15,0.0
