Posición Horizontal,Posición Vertical,Probabilidad
-4,-4,0.0063999999999999994
-4,-3,0.004200000000000001
-4,-2,0.009600000000000001
-4,-1,0.0094
-4,0,0.0191
-4,1,0.0152
-4,2,0.013099999999999999
-4,3,0.011200000000000002
-3,-4,0.0024000000000000002
-3,-3,0.0018
-3,-2,0.0043
-3,-1,0.0031
-3,0,0.006200000000000001
-3,1,0.005
-3,2,0.0058000000000000005
-3,3,0.005
-2,-4,0.0128
-2,-3,0.006400000000000001
-2,-2,0.0272
-2,-1,0.0149
-2,0,0.0537
-2,1,0.023700000000000002
-2,2,0.037700000000000004
-2,3,0.0145
-1,-4,0.0036000000000000003
-1,-3,0.0011
-1,-2,0.0053
-1,-1,0.0049
-1,0,0.008799999999999999
-1,1,0.0059
-1,2,0.007600000000000001
-1,3,0.0055
0,-4,0.0243
0,-3,0.0118
0,-2,0.0561
0,-1,0.021099999999999997
0,0,0.09059999999999999
0,1,0.0308
0,2,0.06409999999999999
0,3,0.022
1,-4,0.0036
1,-3,0.0024000000000000002
1,-2,0.0078000000000000005
1,-1,0.005599999999999999
1,0,0.013000000000000001
1,1,0.007600000000000001
1,2,0.009899999999999999
1,3,0.0058
2,-4,0.0159
2,-3,0.0075
2,-2,0.0364
2,-1,0.019299999999999998
2,0,0.061700000000000005
2,1,0.0219
2,2,0.04150000000000001
2,3,0.0192
3,-4,0.0028
3,-3,0.0018999999999999998
3,-2,0.0054
3,-1,0.0037999999999999996
3,0,0.009899999999999999
3,1,0.0084
3,2,0.0074
3,3,0.0051
