Posición Horizontal,Posición Vertical,Probabilidad
-8,-8,0.0034
-8,-7,0.0031
-8,-6,0.0036000000000000003
-8,-5,0.0031
-8,-4,0.0036
-8,-3,0.0034
-8,-2,0.0033
-8,-1,0.004999999999999999
-8,0,0.0041
-8,1,0.0051
-8,2,0.0046
-8,3,0.004
-8,4,0.0043
-8,5,0.0047
-8,6,0.0037
-8,7,0.0037
-7,-8,0.0016999999999999997
-7,-7,0.0023
-7,-6,0.0034000000000000002
-7,-5,0.0032999999999999995
-7,-4,0.0033
-7,-3,0.0026
-7,-2,0.0038000000000000004
-7,-1,0.0023
-7,0,0.0032
-7,1,0.0034
-7,2,0.0036
-7,3,0.0042
-7,4,0.0037
-7,5,0.0048000000000000004
-7,6,0.0037999999999999996
-7,7,0.0029000000000000002
-6,-8,0.0035
-6,-7,0.0036
-6,-6,0.0039
-6,-5,0.0036
-6,-4,0.0040999999999999995
-6,-3,0.0034000000000000002
-6,-2,0.0032
-6,-1,0.004300000000000001
-6,0,0.0046
-6,1,0.003
-6,2,0.0045
-6,3,0.0038000000000000004
-6,4,0.0052
-6,5,0.004600000000000001
-6,6,0.0045000000000000005
-6,7,0.004200000000000001
-5,-8,0.0034000000000000002
-5,-7,0.0026
-5,-6,0.002
-5,-5,0.0031000000000000003
-5,-4,0.0021999999999999997
-5,-3,0.0021999999999999997
-5,-2,0.0026
-5,-1,0.0033
-5,0,0.0034000000000000002
-5,1,0.0032
-5,2,0.0043
-5,3,0.0038
-5,4,0.0039
-5,5,0.005300000000000001
-5,6,0.0036999999999999997
-5,7,0.0031000000000000003
-4,-8,0.0031000000000000003
-4,-7,0.0031000000000000003
-4,-6,0.0038000000000000004
-4,-5,0.0036
-4,-4,0.004
-4,-3,0.0038
-4,-2,0.0046
-4,-1,0.0037999999999999996
-4,0,0.0052
-4,1,0.0062
-4,2,0.005599999999999999
-4,3,0.0054
-4,4,0.005699999999999999
-4,5,0.005
-4,6,0.0058
-4,7,0.0039000000000000003
-3,-8,0.0031000000000000003
-3,-7,0.0032
-3,-6,0.0035000000000000005
-3,-5,0.0026999999999999997
-3,-4,0.0034
-3,-3,0.0033
-3,-2,0.0032
-3,-1,0.0036
-3,0,0.0048
-3,1,0.0039
-3,2,0.0044
-3,3,0.0031
-3,4,0.005
-3,5,0.0035
-3,6,0.0048000000000000004
-3,7,0.0034
-2,-8,0.004200000000000001
-2,-7,0.0040999999999999995
