Posición Horizontal,Posición Vertical,Probabilidad
-4,-4,0.0089
-4,-3,0.0044
-4,-2,0.0162
-4,-1,0.0079
-4,0,0.030500000000000003
-4,1,0.014499999999999999
-4,2,0.0185
-4,3,0.0084
-3,-4,0.0063999999999999994
-3,-3,0.0050999999999999995
-3,-2,0.0112
-3,-1,0.0074
-3,0,0.0224
-3,1,0.0108
-3,2,0.0137
-3,3,0.0081
-2,-4,0.0126
-2,-3,0.0063
-2,-2,0.0242
-2,-1,0.0099
-2,0,0.053
-2,1,0.012599999999999998
-2,2,0.029699999999999997
-2,3,0.012799999999999999
-1,-4,0.0056
-1,-3,0.0039000000000000003
-1,-2,0.009799999999999998
-1,-1,0.0052
-1,0,0.019000000000000003
-1,1,0.0115
-1,2,0.0104
-1,3,0.0058
0,-4,0.0174
0,-3,0.0077
0,-2,0.0307
0,-1,0.0095
0,0,0.0651
0,1,0.0176
0,2,0.0415
0,3,0.015799999999999998
1,-4,0.0068
1,-3,0.0038
1,-2,0.012700000000000001
1,-1,0.0056
1,0,0.0218
1,1,0.011300000000000001
1,2,0.015399999999999999
1,3,0.0078
2,-4,0.0157
2,-3,0.0060999999999999995
2,-2,0.0321
2,-1,0.012700000000000001
2,0,0.056499999999999995
2,1,0.0183
2,2,0.036800000000000006
2,3,0.013
3,-4,0.0073999999999999995
3,-3,0.0037
3,-2,0.011600000000000001
3,-1,0.0066
3,0,0.0232
3,1,0.0138
3,2,0.0173
3,3,0.008
