Posición Horizontal,Posición Vertical,Probabilidad
-8,-8,0.0029000000000000002
-8,-7,0.0024999999999999996
-8,-6,0.0022
-8,-5,0.0026
-8,-4,0.0026
-8,-3,0.0034
-8,-2,0.0054
-8,-1,0.0026
-8,0,0.0033
-8,1,0.004600000000000001
-8,2,0.0044
-8,3,0.0043
-8,4,0.0056
-8,5,0.004
-8,6,0.0052
-8,7,0.0036
-7,-8,0.0033
-7,-7,0.0016
-7,-6,0.0018
-7,-5,0.0037999999999999996
-7,-4,0.0021000000000000003
-7,-3,0.0028000000000000004
-7,-2,0.0028
-7,-1,0.0032
-7,0,0.0037
-7,1,0.0038
-7,2,0.004200000000000001
-7,3,0.0024000000000000002
-7,4,0.0025
-7,5,0.0031999999999999997
-7,6,0.0031999999999999997
-7,7,0.0034
-6,-8,0.0028000000000000004
-6,-7,0.0039000000000000003
-6,-6,0.0031000000000000003
-6,-5,0.0028000000000000004
-6,-4,0.0040999999999999995
-6,-3,0.004200000000000001
-6,-2,0.004399999999999999
-6,-1,0.0040999999999999995
-6,0,0.0037
-6,1,0.0045000000000000005
-6,2,0.004999999999999999
-6,3,0.005399999999999999
-6,4,0.0052
-6,5,0.0047
-6,6,0.0054
-6,7,0.0046
-5,-8,0.0029
-5,-7,0.0021
-5,-6,0.0034
-5,-5,0.0025
-5,-4,0.0031999999999999997
-5,-3,0.0022
-5,-2,0.0034
-5,-1,0.0028
-5,0,0.0026
-5,1,0.0038000000000000004
-5,2,0.0036999999999999997
-5,3,0.0036999999999999997
-5,4,0.0039000000000000003
-5,5,0.0036
-5,6,0.0029000000000000002
-5,7,0.0026000000000000003
-4,-8,0.0046
-4,-7,0.004900000000000001
-4,-6,0.0028000000000000004
-4,-5,0.0038
-4,-4,0.0037999999999999996
-4,-3,0.004399999999999999
-4,-2,0.003999999999999999
-4,-1,0.0054
-4,0,0.0047
-4,1,0.0052
-4,2,0.0056
-4,3,0.0048
-4,4,0.0051
-4,5,0.0052
-4,6,0.0048000000000000004
-4,7,0.0042
-3,-8,0.0031999999999999997
-3,-7,0.003
-3,-6,0.0022
-3,-5,0.0015999999999999999
-3,-4,0.0031999999999999997
-3,-3,0.004
-3,-2,0.0045
-3,-1,0.004
-3,0,0.0041
-3,1,0.004
-3,2,0.0041
-3,3,0.0045
-3,4,0.0035
-3,5,0.0045
-3,6,0.0036999999999999997
-3,7,0.0031000000000000003
-2,-8,0.0045
-2,-7,0.0022
-2,-6,0.003
-2,-5,0.0025000000000000005
-2,-4,0.0053
-2,-3,0.0040999999999999995
-2,-2,0.0046
-2,-1,0.0043
-2,0,0.0039
-2,1,0.0049
-2,2,0.0056
-2,3,0.006699999999999999
-2,4,0.0059
-2,5,0.0053
-2,6,0.0059
-2,7,0.0047
-1,-8,0.003
-1,-7,0.0029
-1,-6,0.0024
-1,-5,0.0031
-1,-4,0.0026999999999999997
-1,-3,0.0026
-1,-2,0.0026
-1,-1,0.0035000000000000005
-1,0,0.0029999999999999996
-1,1,0.0036
-1,2,0.0045000000000000005
-1,3,0.004
-1,4,0.0050999999999999995
-1,5,0.0042
-1,6,0.0033
-1,7,0.0026
0,-8,0.0032
0,-7,0.0033
0,-6,0.0033
0,-5,0.0036
0,-4,0.0040999999999999995
0,-3,0.0049
0,-2,0.004200000000000001
0,-1,0.0052
0,0,0.0055
0,1,0.0071
0,2,0.005200000000000001
0,3,0.0049
0,4,0.0064
0,5,0.0063
0,6,0.004699999999999999
0,7,0.0042
1,-8,0.003
1,-7,0.0032
1,-6,0.0038000000000000004
1,-5,0.0015
1,-4,0.0026
1,-3,0.0028
1,-2,0.0027999999999999995
1,-1,0.0032
1,0,0.0031
1,1,0.0045
1,2,0.0034999999999999996
1,3,0.0043
1,4,0.0041
1,5,0.0038
1,6,0.0039
1,7,0.0040999999999999995
2,-8,0.0036
2,-7,0.0033
2,-6,0.0049
2,-5,0.0034999999999999996
2,-4,0.0039
2,-3,0.0036
2,-2,0.0048000000000000004
2,-1,0.005
2,0,0.006
2,1,0.0065
2,2,0.0069
2,3,0.004699999999999999
2,4,0.0076
2,5,0.0055
2,6,0.005
2,7,0.0057
3,-8,0.0024999999999999996
3,-7,0.0030999999999999995
3,-6,0.0025
3,-5,0.0032
3,-4,0.0033
3,-3,0.0027
3,-2,0.0029
3,-1,0.0029
3,0,0.0036
3,1,0.004
3,2,0.0037
3,3,0.0037999999999999996
3,4,0.0042
3,5,0.0041
3,6,0.0031
3,7,0.0041
4,-8,0.0044
4,-7,0.0025
4,-6,0.003
4,-5,0.0029000000000000002
4,-4,0.006
4,-3,0.004200000000000001
4,-2,0.0043
4,-1,0.0048
4,0,0.005200000000000001
4,1,0.0062
4,2,0.0063
4,3,0.005999999999999999
4,4,0.0062
4,5,0.0053
4,6,0.0055
4,7,0.0041
5,-8,0.0036
5,-7,0.0029
5,-6,0.0029000000000000002
5,-5,0.0023
5,-4,0.0035000000000000005
5,-3,0.0026
5,-2,0.0026999999999999997
5,-1,0.0036999999999999997
5,0,0.0025
5,1,0.0033
5,2,0.0027
5,3,0.0049
5,4,0.0040999999999999995
5,5,0.0042
5,6,0.0041
5,7,0.0034000000000000002
6,-8,0.0031999999999999997
6,-7,0.004
6,-6,0.0026
6,-5,0.0025
6,-4,0.0041
6,-3,0.0042
6,-2,0.0040999999999999995
6,-1,0.0034000000000000002
6,0,0.0051
6,1,0.0039
6,2,0.005200000000000001
6,3,0.0062
6,4,0.0053
6,5,0.0052
6,6,0.004
6,7,0.004
7,-8,0.0024000000000000002
7,-7,0.003
7,-6,0.0035
7,-5,0.0029000000000000002
7,-4,0.0033
7,-3,0.0034000000000000002
7,-2,0.0027999999999999995
7,-1,0.0029
7,0,0.0045
7,1,0.0037
7,2,0.0039
7,3,0.0036000000000000003
7,4,0.0049
7,5,0.004
7,6,0.0036
7,7,0.0046
