Posición Horizontal,Posición Vertical,Probabilidad
-4,-4,0.0027
-4,-3,0.0021
-4,-2,0.0057
-4,-1,0.0045
-4,0,0.012
-4,1,0.0095
-4,2,0.009800000000000001
-4,3,0.0044
-3,-4,0.0004
-3,-3,0.00030000000000000003
-3,-2,0.002
-3,-1,0.0014999999999999998
-3,0,0.005
-3,1,0.0033
-3,2,0.0017
-3,3,0.001
-2,-4,0.011
-2,-3,0.0028000000000000004
-2,-2,0.0424
-2,-1,0.0076
-2,0,0.07950000000000002
-2,1,0.012
-2,2,0.0476
-2,3,0.0079
-1,-4,0.0008
-1,-3,0.0005
-1,-2,0.0046
-1,-1,0.0012000000000000001
-1,0,0.0073999999999999995
-1,1,0.0035
-1,2,0.0050999999999999995
-1,3,0.0014
0,-4,0.022199999999999998
0,-3,0.004
0,-2,0.0887
0,-1,0.011
0,0,0.1547
0,1,0.0153
0,2,0.091
0,3,0.011
1,-4,0.0021999999999999997
1,-3,0.0004
1,-2,0.0049
1,-1,0.0013000000000000002
1,0,0.0092
1,1,0.004
1,2,0.006
1,3,0.0024
2,-4,0.0143
2,-3,0.0038999999999999994
2,-2,0.0496
2,-1,0.0078
2,0,0.09019999999999999
2,1,0.013900000000000001
2,2,0.0545
2,3,0.0083
3,-4,0.001
3,-3,0.0008
3,-2,0.004
3,-1,0.003
3,0,0.0092
3,1,0.0039
3,2,0.0048
3,3,0.0013000000000000002
