Posición Horizontal,Posición Vertical,Probabilidad
-4,-4,0.005
-4,-3,0.0026000000000000003
-4,-2,0.014
-4,-1,0.0091
-4,0,0.0229
-4,1,0.0115
-4,2,0.0157
-4,3,0.0078
-3,-4,0.0018
-3,-3,0.002
-3,-2,0.0062
-3,-1,0.005
-3,0,0.0099
-3,1,0.0063
-3,2,0.0086
-3,3,0.0041
-2,-4,0.009
-2,-3,0.005999999999999999
-2,-2,0.030000000000000002
-2,-1,0.011300000000000001
-2,0,0.0509
-2,1,0.0146
-2,2,0.0349
-2,3,0.0089
-1,-4,0.003
-1,-3,0.0021
-1,-2,0.0094
-1,-1,0.0051
-1,0,0.0155
-1,1,0.0070999999999999995
-1,2,0.0118
-1,3,0.0047
0,-4,0.0158
0,-3,0.0073
0,-2,0.049600000000000005
0,-1,0.013900000000000001
0,0,0.0873
0,1,0.016600000000000004
0,2,0.06490000000000001
0,3,0.0126
1,-4,0.0038
1,-3,0.0023
1,-2,0.012499999999999999
1,-1,0.0061
1,0,0.0179
1,1,0.009999999999999998
1,2,0.013399999999999999
1,3,0.0066
2,-4,0.014300000000000002
2,-3,0.007000000000000001
2,-2,0.04340000000000001
2,-1,0.0133
2,0,0.0741
2,1,0.0228
2,2,0.05
2,3,0.014
3,-4,0.0038000000000000004
3,-3,0.0017999999999999997
3,-2,0.008199999999999999
3,-1,0.0061
3,0,0.0158
3,1,0.0085
3,2,0.011099999999999999
3,3,0.008400000000000001
